SIEMBRA,VERDE_ACTUAL,PRECIO_CHACRA,label,prediction
5.0,21.0,1.0,1.0,1.0
0.0,45.0,0.0,0.0,0.0
0.0,300.0,0.0,0.0,0.0
0.0,20.0,0.6,1.0,1.0
0.0,65.0,0.0,0.0,0.0
0.0,30.0,1.5,1.0,1.0
0.0,137.0,0.0,0.0,0.0
0.0,246.0,1.0,1.0,1.0
0.0,81.0,0.0,0.0,0.0
0.0,15.0,0.0,0.0,0.0
0.0,579.0,0.0,0.0,0.0
0.0,20.0,0.0,0.0,0.0
0.0,15.0,0.0,0.0,0.0
30.0,30.0,0.0,0.0,0.0
0.0,158.0,2.3,1.0,1.0
0.0,13.0,0.0,0.0,0.0
0.0,239.0,8.0,1.0,1.0
0.0,0.0,0.4,1.0,1.0
0.0,491.0,0.1,1.0,0.0
0.0,0.0,1.2,1.0,1.0
0.0,130.0,0.0,0.0,0.0
0.0,0.0,2.4,1.0,1.0
0.0,30.0,0.0,0.0,0.0
0.0,0.0,1.95,1.0,1.0
0.0,3.0,0.0,0.0,0.0
0.0,16.0,0.8,1.0,1.0
0.0,13.0,0.0,0.0,0.0
0.0,976.0,1.5,1.0,1.0
0.0,9.0,0.0,0.0,0.0
0.0,0.0,3.0,1.0,1.0
0.0,20.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,103.0,0.1,1.0,0.0
0.0,15.0,0.0,0.0,0.0
0.0,7.0,0.0,0.0,0.0
5.0,43.0,0.0,0.0,0.0
0.0,373.0,0.1,1.0,0.0
0.0,198.0,0.1,1.0,0.0
0.0,10.0,0.0,0.0,0.0
0.0,280.0,1.3,1.0,1.0
0.0,1.0,0.0,0.0,0.0
0.0,17.0,0.0,0.0,0.0
0.0,91.0,1.6,1.0,1.0
3.0,3.0,0.0,0.0,0.0
0.0,70.0,0.0,0.0,0.0
0.0,151.0,0.0,0.0,0.0
0.0,420.0,0.15,1.0,0.0
0.0,100.0,0.0,0.0,0.0
0.0,11.0,0.0,0.0,0.0
0.0,90.0,0.0,0.0,0.0
0.0,12.0,0.0,0.0,0.0
0.0,14.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0
0.0,0.0,0.8,1.0,1.0
0.0,2530.0,0.0,0.0,0.0
0.0,8.0,0.0,0.0,0.0
0.0,4451.0,0.1,1.0,0.0
0.0,15.0,0.0,0.0,0.0
0.0,61.0,0.0,0.0,0.0
0.0,24.0,0.0,0.0,0.0
0.0,437.0,0.2,1.0,1.0
0.0,470.0,0.0,0.0,0.0
0.0,19.0,0.0,0.0,0.0
12.0,12.0,0.0,0.0,0.0
0.0,119.0,0.0,0.0,0.0
0.0,3.0,0.0,0.0,0.0
0.0,300.0,8.0,1.0,1.0
0.0,15.0,0.0,0.0,0.0
0.0,427.0,0.1,1.0,0.0
0.0,5.0,0.0,0.0,0.0
0.0,9.0,0.0,0.0,0.0
0.0,30.0,0.0,0.0,0.0
0.0,2.0,0.8,1.0,1.0
0.0,10.0,0.0,0.0,0.0
10.0,39.0,0.8,1.0,1.0
0.0,159.0,0.0,0.0,0.0
0.0,3.0,0.0,0.0,0.0
15.0,15.0,0.0,0.0,0.0
0.0,10.0,0.4,1.0,1.0
0.0,95.0,0.1,1.0,0.0
0.0,4.0,0.0,0.0,0.0
0.0,20.0,0.1,1.0,0.0
0.0,146.0,0.0,0.0,0.0
3.0,61.0,1.7,1.0,1.0
0.0,28.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0
2.0,2.0,0.0,0.0,0.0
0.0,0.0,2.2,1.0,1.0
0.0,8.0,0.1,1.0,0.0
0.0,0.0,1.2,1.0,1.0
0.0,10.0,0.0,0.0,0.0
0.0,75.0,0.0,0.0,0.0
0.0,0.0,2.5,1.0,1.0
0.0,0.0,1.8,1.0,1.0
0.0,50.0,1.4,1.0,1.0
0.0,1.0,0.0,0.0,0.0
0.0,390.0,0.0,0.0,0.0
0.0,14.0,0.0,0.0,0.0
0.0,20.0,0.1,1.0,0.0
0.0,10.0,0.1,1.0,0.0
0.0,100.0,1.2,1.0,1.0
0.0,15.0,0.0,0.0,0.0
19.0,19.0,0.0,0.0,0.0
0.0,146.0,0.0,0.0,0.0
0.0,28.0,0.0,0.0,0.0
0.0,701.0,8.0,1.0,1.0
0.0,394.0,0.1,1.0,0.0
0.0,73.0,0.0,0.0,0.0
0.0,20.0,0.0,0.0,0.0
0.0,22.0,0.0,0.0,0.0
0.0,49.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,22.0,0.0,0.0,0.0
10.0,34.0,0.0,0.0,0.0
0.0,330.0,0.0,0.0,0.0
0.0,12.0,0.0,0.0,0.0
9.0,10.0,3.5,1.0,1.0
0.0,20.0,0.5,1.0,1.0
0.0,2.0,0.0,0.0,0.0
0.0,4.0,0.0,0.0,0.0
0.0,285.0,0.1,1.0,0.0
0.0,20.0,0.0,0.0,0.0
0.0,6.0,0.0,0.0,0.0
0.0,538.0,0.1,1.0,0.0
0.0,329.0,0.2,1.0,1.0
0.0,1.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0
2.0,28.0,1.6,1.0,1.0
0.0,22.0,0.0,0.0,0.0
25.0,25.0,0.0,0.0,0.0
0.0,0.0,2.0,1.0,1.0
0.0,609.0,7.0,1.0,1.0
0.0,40.0,0.2,1.0,1.0
0.0,58.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0
0.0,345.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0
0.0,8.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,1.0
0.0,14.0,0.0,0.0,0.0
0.0,38.0,0.0,0.0,0.0
0.0,8.0,0.0,0.0,0.0
0.0,350.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0
60.0,70.0,0.0,0.0,0.0
0.0,4.0,0.0,0.0,0.0
0.0,9.0,0.4,1.0,1.0
0.0,1605.0,1.0,1.0,1.0
0.0,1.0,0.0,0.0,0.0
0.0,183.0,1.5,1.0,1.0
930.0,1083.0,0.0,0.0,0.0
0.0,30.0,2.0,1.0,1.0
0.0,42.0,5.0,1.0,1.0
0.0,1.0,0.0,0.0,0.0
0.0,29.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0
0.0,0.0,3.2,1.0,1.0
0.0,0.0,1.95,1.0,1.0
0.0,9.0,0.7,1.0,1.0
35.0,48.0,0.82,1.0,1.0
0.0,130.0,1.6,1.0,1.0
0.0,6.0,0.0,0.0,0.0
18.0,18.0,4.0,1.0,1.0
0.0,8.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0
0.0,80.0,0.0,0.0,0.0
0.0,97.0,0.0,0.0,0.0
0.0,21.0,0.0,0.0,0.0
0.0,20.0,0.8,1.0,1.0
0.0,1.0,0.0,0.0,0.0
0.0,65.0,0.0,0.0,0.0
2.0,13.0,1.4,1.0,1.0
0.0,720.0,2.2,1.0,1.0
0.0,35.0,0.0,0.0,0.0
0.0,184.0,0.0,0.0,0.0
0.0,3.0,0.0,0.0,0.0
0.0,170.0,0.2,1.0,1.0
0.0,6.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0
0.0,6.0,0.0,0.0,0.0
0.0,275.0,2.8,1.0,1.0
0.0,5.0,0.0,0.0,0.0
0.0,4.0,0.0,0.0,0.0
0.0,3.0,0.0,0.0,0.0
0.0,160.0,0.9,1.0,1.0
0.0,750.0,1.6,1.0,1.0
0.0,10.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0
0.0,591.0,0.0,0.0,0.0
0.0,25.0,0.0,0.0,0.0
0.0,133.0,0.0,0.0,0.0
0.0,52.0,0.0,0.0,0.0
0.0,36.0,0.8,1.0,1.0
0.0,6.0,0.0,0.0,0.0
0.0,150.0,1.3,1.0,1.0
0.0,98.0,0.0,0.0,0.0
0.0,37.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
10.0,10.0,0.0,0.0,0.0
0.0,0.0,2.0,1.0,1.0
0.0,1.0,0.0,0.0,0.0
0.0,160.0,8.0,1.0,1.0
0.0,155.0,0.1,1.0,0.0
0.0,10.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.8,1.0,1.0
0.0,3.0,0.0,0.0,0.0
0.0,84.0,0.8,1.0,1.0
0.0,0.0,1.5,1.0,1.0
0.0,1.0,0.0,0.0,0.0
3.0,3.0,0.0,0.0,0.0
0.0,3.0,0.0,0.0,0.0
0.0,15.0,0.1,1.0,0.0
0.0,2.0,0.0,0.0,0.0
0.0,80.0,0.1,1.0,0.0
0.0,165.0,0.1,1.0,0.0
0.0,5.0,0.0,0.0,0.0
0.0,23.0,1.5,1.0,1.0
350.0,350.0,0.0,0.0,0.0
0.0,18.0,0.0,0.0,0.0
0.0,50.0,6.0,1.0,1.0
0.0,245.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0
0.0,45.0,0.8,1.0,1.0
100.0,100.0,0.0,0.0,0.0
0.0,8.0,0.0,0.0,0.0
0.0,20.0,0.0,0.0,0.0
0.0,25.0,1.5,1.0,1.0
0.0,5.0,1.5,1.0,1.0
0.0,35.0,0.0,0.0,0.0
0.0,70.0,0.0,0.0,0.0
0.0,42.0,0.0,0.0,0.0
0.0,0.0,7.0,1.0,1.0
0.0,30.0,0.25,1.0,1.0
0.0,161.0,2.5,1.0,1.0
22.0,100.0,1.5,1.0,1.0
0.0,20.0,0.0,0.0,0.0
0.0,18.0,0.0,0.0,0.0
0.0,10.0,0.15,1.0,0.0
0.0,46.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0
0.0,4.0,0.0,0.0,0.0
0.0,15.0,0.0,0.0,0.0
0.0,15.0,0.0,0.0,0.0
0.0,3.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,3.0,1.0,1.0,1.0
0.0,528.0,1.3,1.0,1.0
0.0,40.0,0.0,0.0,0.0
0.0,24.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0
0.0,18.0,0.0,0.0,0.0
0.0,150.0,0.15,1.0,0.0
0.0,5.0,0.0,0.0,0.0
0.0,4.0,0.0,0.0,0.0
40.0,94.0,0.9,1.0,1.0
0.0,100.0,0.15,1.0,0.0
0.0,10.0,0.3,1.0,1.0
0.0,100.0,1.2,1.0,1.0
0.0,1.0,0.0,0.0,0.0
0.0,68.0,0.0,0.0,0.0
0.0,4.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0
0.0,400.0,0.0,0.0,0.0
0.0,0.0,2.0,1.0,1.0
0.0,0.0,1.5,1.0,1.0
0.0,52.0,0.0,0.0,0.0
0.0,53.0,5.0,1.0,1.0
0.0,1700.0,6.0,1.0,1.0
0.0,0.0,1.2,1.0,1.0
0.0,200.0,0.15,1.0,0.0
0.0,0.0,1.0,1.0,1.0
0.0,15.0,0.0,0.0,0.0
0.0,15.0,0.0,0.0,0.0
0.0,20.0,0.0,0.0,0.0
0.0,0.0,2.5,1.0,1.0
0.0,40.0,0.0,0.0,0.0
0.0,0.0,1.5,1.0,1.0
0.0,2.0,0.0,0.0,0.0
0.0,5.0,0.8,1.0,1.0
0.0,3.0,0.0,0.0,0.0
0.0,40.0,1.2,1.0,1.0
0.0,0.0,1.2,1.0,1.0
0.0,7.0,1.0,1.0,1.0
0.0,20.0,0.0,0.0,0.0
0.0,37.0,1.5,1.0,1.0
0.0,150.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,400.0,0.15,1.0,0.0
0.0,10.0,0.0,0.0,0.0
0.0,50.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0
0.0,100.0,0.15,1.0,0.0
0.0,300.0,0.3,1.0,1.0
0.0,30.0,0.0,0.0,0.0
0.0,6.0,1.0,1.0,1.0
0.0,1.0,0.0,0.0,0.0
0.0,20.0,0.0,0.0,0.0
0.0,8.0,1.5,1.0,1.0
0.0,1.0,7.0,1.0,1.0
0.0,19.0,0.25,1.0,1.0
0.0,115.0,2.2,1.0,1.0
2.0,7.0,1.5,1.0,1.0
0.0,645.0,6.0,1.0,1.0
0.0,13.0,0.7,1.0,1.0
0.0,182.0,0.15,1.0,0.0
0.0,35.0,0.0,0.0,0.0
0.0,30.0,0.0,0.0,0.0
0.0,18.0,0.0,0.0,0.0
0.0,14.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0
0.0,3.0,0.0,0.0,0.0
0.0,3.0,0.0,0.0,0.0
0.0,50.0,0.0,0.0,0.0
0.0,7.0,1.0,1.0,1.0
0.0,10.0,0.0,0.0,0.0
0.0,50.0,0.15,1.0,0.0
0.0,4.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0
10.0,148.0,1.0,1.0,1.0
0.0,50.0,0.15,1.0,0.0
0.0,155.0,0.3,1.0,1.0
0.0,7.0,1.4,1.0,1.0
4.0,49.0,0.0,0.0,0.0
0.0,22.0,0.0,0.0,0.0
0.0,5.0,3.0,1.0,1.0
0.0,40.0,5.5,1.0,1.0
0.0,1320.0,8.0,1.0,1.0
0.0,16.0,1.1,1.0,1.0
0.0,1382.0,0.3,1.0,1.0
0.0,0.0,1.0,1.0,1.0
0.0,10.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0
0.0,140.0,3.0,1.0,1.0
0.0,10.0,0.0,0.0,0.0
0.0,0.0,2.8,1.0,1.0
0.0,2.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0
0.0,0.0,1.2,1.0,1.0
0.0,10.0,0.0,0.0,0.0
0.0,6.0,0.0,0.0,0.0
0.0,20.0,0.0,0.0,0.0
0.0,14.0,0.0,0.0,0.0
0.0,400.0,0.0,0.0,0.0
0.0,6.0,0.0,0.0,0.0
0.0,110.0,0.0,0.0,0.0
0.0,1200.0,0.3,1.0,1.0
0.0,1200.0,0.5,1.0,1.0
0.0,200.0,1.2,1.0,1.0
0.0,1.0,0.0,0.0,0.0
0.0,300.0,0.0,0.0,0.0
0.0,40.0,0.0,0.0,0.0
0.0,0.0,1.5,1.0,1.0
0.0,54.0,0.0,0.0,0.0
0.0,60.0,5.0,1.0,1.0
0.0,500.0,6.0,1.0,1.0
0.0,1.0,1.2,1.0,1.0
0.0,100.0,0.15,1.0,0.0
0.0,3.0,0.9,1.0,1.0
0.0,2.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0
0.0,0.0,2.5,1.0,1.0
0.0,2.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0
0.0,1.0,1.2,1.0,1.0
0.0,0.0,1.2,1.0,1.0
0.0,5.0,0.0,0.0,0.0
0.0,3.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0
0.0,100.0,0.15,1.0,0.0
0.0,4.0,0.0,0.0,0.0
0.0,14.0,0.0,0.0,0.0
0.0,100.0,0.15,1.0,0.0
0.0,9.0,0.3,1.0,1.0
0.0,9.0,1.0,1.0,1.0
0.0,4.0,1.5,1.0,1.0
0.0,0.0,2.0,1.0,1.0
0.0,0.0,1.8,1.0,1.0
0.0,60.0,5.0,1.0,1.0
0.0,1000.0,6.0,1.0,1.0
0.0,100.0,0.15,1.0,0.0
0.0,3.0,0.9,1.0,1.0
0.0,15.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0
0.0,80.0,0.0,0.0,0.0
0.0,0.0,2.5,1.0,1.0
0.0,20.0,0.0,0.0,0.0
0.0,7.0,1.5,1.0,1.0
0.0,1.0,0.0,0.0,0.0
0.0,10.0,0.8,1.0,1.0
0.0,50.0,1.2,1.0,1.0
0.0,0.0,1.2,1.0,1.0
0.0,55.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0
0.0,90.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0
0.0,350.0,0.15,1.0,0.0
0.0,8.0,0.0,0.0,0.0
0.0,45.0,0.0,0.0,0.0
0.0,6.0,0.0,0.0,0.0
0.0,100.0,0.15,1.0,0.0
0.0,260.0,0.3,1.0,1.0
0.0,40.0,1.8,1.0,1.0
0.0,15.0,1.0,1.0,1.0
0.0,3.0,1.5,1.0,1.0
0.0,0.0,0.0,0.0,0.0
0.0,183.0,2.5,1.0,1.0
0.0,10.0,0.0,0.0,0.0
0.0,115.0,6.0,1.0,1.0
7.0,68.0,0.8,1.0,1.0
0.0,500.0,0.15,1.0,0.0
0.0,30.0,0.0,0.0,0.0
0.0,178.0,0.0,0.0,0.0
0.0,15.0,0.0,0.0,0.0
0.0,32.0,0.0,0.0,0.0
0.0,28.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,6.0,0.9,1.0,1.0
0.0,2.0,0.0,0.0,0.0
0.0,50.0,0.0,0.0,0.0
0.0,4.0,0.8,1.0,1.0
0.0,5.0,0.0,0.0,0.0
0.0,3.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0
0.0,50.0,0.15,1.0,0.0
0.0,3.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0
16.0,77.0,0.9,1.0,1.0
0.0,50.0,0.15,1.0,0.0
0.0,109.0,0.3,1.0,1.0
0.0,0.0,1.8,1.0,1.0
0.0,11.0,0.0,0.0,0.0
8.0,25.0,1.0,1.0,1.0
0.0,3.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,15.0,0.25,1.0,1.0
0.0,0.0,2.5,1.0,1.0
13.0,61.0,2.0,1.0,1.0
0.0,4.0,0.0,0.0,0.0
0.0,14.0,0.15,1.0,0.0
0.0,8.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0
0.0,18.0,0.0,0.0,0.0
0.0,3.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,7.0,0.9,1.0,1.0
0.0,1.0,0.0,0.0,0.0
0.0,7.0,0.0,0.0,0.0
0.0,40.0,0.15,1.0,0.0
0.0,10.0,0.0,0.0,0.0
0.0,30.0,0.0,0.0,0.0
88.0,423.0,1.25,1.0,1.0
0.0,22.0,0.15,1.0,0.0
0.0,5.0,0.3,1.0,1.0
0.0,163.0,0.0,0.0,0.0
0.0,45.0,0.0,0.0,0.0
0.0,133.0,0.0,0.0,0.0
0.0,248.0,3.3,1.0,1.0
0.0,70.0,0.0,0.0,0.0
0.0,3.0,0.6,1.0,1.0
0.0,275.0,0.0,0.0,0.0
0.0,3.0,0.0,0.0,0.0
0.0,964.0,0.9,1.0,1.0
55.0,983.0,0.86,1.0,1.0
0.0,5.0,1.0,1.0,1.0
0.0,2791.0,1.5,1.0,1.0
0.0,2.0,1.2,1.0,1.0
0.0,65.0,0.0,0.0,0.0
0.0,17.0,0.6,1.0,1.0
0.0,10.0,0.6,1.0,1.0
0.0,139.0,0.0,0.0,0.0
0.0,6.0,1.1,1.0,1.0
0.0,35.0,0.0,0.0,0.0
0.0,141.0,0.0,0.0,0.0
0.0,340.0,0.74,1.0,1.0
0.0,45.0,0.0,0.0,0.0
0.0,15.0,0.0,0.0,0.0
160.0,960.0,3.0,1.0,1.0
0.0,95.0,1.3,1.0,1.0
0.0,230.0,3.5,1.0,1.0
0.0,13.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,15.0,0.0,0.0,0.0
0.0,6.0,0.0,0.0,0.0
250.0,250.0,0.0,0.0,0.0
