SIEMBRA,VERDE_ACTUAL,PRECIO_CHACRA,label,prediction
0.0,15.0,0.0,0.0,0.0
0.0,28.0,0.0,0.0,0.0
0.0,35.0,2.93,1.0,1.0
3200.0,3200.0,0.0,0.0,0.0
0.0,200.0,0.0,0.0,0.0
0.0,20.0,0.0,0.0,0.0
0.0,67.0,0.0,0.0,0.0
0.0,11.0,0.0,0.0,0.0
0.0,4103.0,0.0,0.0,0.0
0.0,62.0,0.0,0.0,0.0
0.0,9738.0,1.2,1.0,1.0
80.0,344.0,0.9,1.0,1.0
0.0,10.0,1.0,1.0,1.0
0.0,14440.0,2.5,1.0,1.0
0.0,240.0,1.0,1.0,1.0
